PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
60,0,3,male,11.0,5,2,s
61,0,3,male,22.0,0,0,c
62,1,1,female,38.0,0,0,s
63,0,1,male,45.0,1,0,s
64,0,3,male,4.0,3,2,s
65,0,1,male,30.0,0,0,c
66,1,3,male,30.0,1,1,c
67,1,2,female,29.0,0,0,s
68,0,3,male,19.0,0,0,s
69,1,3,female,17.0,4,2,s
70,0,3,male,26.0,2,0,s
71,0,2,male,32.0,0,0,s
72,0,3,female,16.0,5,2,s
73,0,2,male,21.0,0,0,s
74,0,3,male,26.0,1,0,c
75,1,3,male,32.0,0,0,s
76,0,3,male,25.0,0,0,s
77,0,3,male,30.0,0,0,s
78,0,3,male,30.0,0,0,s
79,1,2,male,0.83,0,2,s
80,1,3,female,30.0,0,0,s
81,0,3,male,22.0,0,0,s
82,1,3,male,29.0,0,0,s
83,1,3,female,30.0,0,0,q
84,0,1,male,28.0,0,0,s
85,1,2,female,17.0,0,0,s
86,1,3,female,33.0,3,0,s
87,0,3,male,16.0,1,3,s
88,0,3,male,30.0,0,0,s
89,1,1,female,23.0,3,2,s
90,0,3,male,24.0,0,0,s
91,0,3,male,29.0,0,0,s
92,0,3,male,20.0,0,0,s
93,0,1,male,46.0,1,0,s
94,0,3,male,26.0,1,2,s
95,0,3,male,59.0,0,0,s
96,0,3,male,30.0,0,0,s
97,0,1,male,71.0,0,0,c
98,1,1,male,23.0,0,1,c
99,1,2,female,34.0,0,1,s
100,0,2,male,34.0,1,0,s
101,0,3,female,28.0,0,0,s
102,0,3,male,30.0,0,0,s
103,0,1,male,21.0,0,1,s
104,0,3,male,33.0,0,0,s
105,0,3,male,37.0,2,0,s
106,0,3,male,28.0,0,0,s
107,1,3,female,21.0,0,0,s
108,1,3,male,30.0,0,0,s
109,0,3,male,38.0,0,0,s
110,1,3,female,30.0,1,0,q
111,0,1,male,47.0,0,0,s
112,0,3,female,14.5,1,0,c
113,0,3,male,22.0,0,0,s
114,0,3,female,20.0,1,0,s
115,0,3,female,17.0,0,0,c
116,0,3,male,21.0,0,0,s
117,0,3,male,70.5,0,0,q
118,0,2,male,29.0,1,0,s
119,0,1,male,24.0,0,1,c
120,0,3,female,2.0,4,2,s
121,0,2,male,21.0,2,0,s
122,0,3,male,30.0,0,0,s
123,0,2,male,32.5,1,0,c
124,1,2,female,32.5,0,0,s
125,0,1,male,54.0,0,1,s
126,1,3,male,12.0,1,0,c
127,0,3,male,30.0,0,0,q
128,1,3,male,24.0,0,0,s
129,1,3,female,30.0,1,1,c
130,0,3,male,45.0,0,0,s
131,0,3,male,33.0,0,0,c
132,0,3,male,20.0,0,0,s
133,0,3,female,47.0,1,0,s
134,1,2,female,29.0,1,0,s
135,0,2,male,25.0,0,0,s
136,0,2,male,23.0,0,0,c
137,1,1,female,19.0,0,2,s
138,0,1,male,37.0,1,0,s
139,0,3,male,16.0,0,0,s
140,0,1,male,24.0,0,0,c
141,0,3,female,30.0,0,2,c
142,1,3,female,22.0,0,0,s
143,1,3,female,24.0,1,0,s
144,0,3,male,19.0,0,0,q
145,0,2,male,18.0,0,0,s
146,0,2,male,19.0,1,1,s
147,1,3,male,27.0,0,0,s
148,0,3,female,9.0,2,2,s
149,0,2,male,36.5,0,2,s
150,0,2,male,42.0,0,0,s
151,0,2,male,51.0,0,0,s
152,1,1,female,22.0,1,0,s
153,0,3,male,55.5,0,0,s
154,0,3,male,40.5,0,2,s
155,0,3,male,30.0,0,0,s
156,0,1,male,51.0,0,1,c
157,1,3,female,16.0,0,0,q
158,0,3,male,30.0,0,0,s
159,0,3,male,30.0,0,0,s
160,0,3,male,30.0,8,2,s
161,0,3,male,44.0,0,1,s
162,1,2,female,40.0,0,0,s
163,0,3,male,26.0,0,0,s
164,0,3,male,17.0,0,0,s
165,0,3,male,1.0,4,1,s
166,1,3,male,9.0,0,2,s
167,1,1,female,30.0,0,1,s
168,0,3,female,45.0,1,4,s
169,0,1,male,30.0,0,0,s
170,0,3,male,28.0,0,0,s
171,0,1,male,61.0,0,0,s
172,0,3,male,4.0,4,1,q
173,1,3,female,1.0,1,1,s
174,0,3,male,21.0,0,0,s
175,0,1,male,56.0,0,0,c
176,0,3,male,18.0,1,1,s
177,0,3,male,30.0,3,1,s
178,0,1,female,50.0,0,0,c
179,0,2,male,30.0,0,0,s
180,0,3,male,36.0,0,0,s
181,0,3,female,30.0,8,2,s
182,0,2,male,30.0,0,0,c
183,0,3,male,9.0,4,2,s
184,1,2,male,1.0,2,1,s
185,1,3,female,4.0,0,2,s
186,0,1,male,30.0,0,0,s
187,1,3,female,30.0,1,0,q
188,1,1,male,45.0,0,0,s
189,0,3,male,40.0,1,1,q
190,0,3,male,36.0,0,0,s
191,1,2,female,32.0,0,0,s
192,0,2,male,19.0,0,0,s
193,1,3,female,19.0,1,0,s
194,1,2,male,3.0,1,1,s
195,1,1,female,44.0,0,0,c
196,1,1,female,58.0,0,0,c
197,0,3,male,30.0,0,0,q
198,0,3,male,42.0,0,1,s
199,1,3,female,30.0,0,0,q
200,0,2,female,24.0,0,0,s
201,0,3,male,28.0,0,0,s
202,0,3,male,30.0,8,2,s
203,0,3,male,34.0,0,0,s
204,0,3,male,45.5,0,0,c
205,1,3,male,18.0,0,0,s
206,0,3,female,2.0,0,1,s
207,0,3,male,32.0,1,0,s
208,1,3,male,26.0,0,0,c
209,1,3,female,16.0,0,0,q
210,1,1,male,40.0,0,0,c
211,0,3,male,24.0,0,0,s
212,1,2,female,35.0,0,0,s
213,0,3,male,22.0,0,0,s
214,0,2,male,30.0,0,0,s
215,0,3,male,30.0,1,0,q
216,1,1,female,31.0,1,0,c
217,1,3,female,27.0,0,0,s
218,0,2,male,42.0,1,0,s
219,1,1,female,32.0,0,0,c
220,0,2,male,30.0,0,0,s
221,1,3,male,16.0,0,0,s
222,0,2,male,27.0,0,0,s
223,0,3,male,51.0,0,0,s
224,0,3,male,30.0,0,0,s
225,1,1,male,38.0,1,0,s
226,0,3,male,22.0,0,0,s
227,1,2,male,19.0,0,0,s
228,0,3,male,20.5,0,0,s
229,0,2,male,18.0,0,0,s
230,0,3,female,30.0,3,1,s
231,1,1,female,35.0,1,0,s
232,0,3,male,29.0,0,0,s
233,0,2,male,59.0,0,0,s
234,1,3,female,5.0,4,2,s
235,0,2,male,24.0,0,0,s
236,0,3,female,30.0,0,0,s
237,0,2,male,44.0,1,0,s
238,1,2,female,8.0,0,2,s
239,0,2,male,19.0,0,0,s
240,0,2,male,33.0,0,0,s
241,0,3,female,30.0,1,0,c
242,1,3,female,30.0,1,0,q
243,0,2,male,29.0,0,0,s
244,0,3,male,22.0,0,0,s
245,0,3,male,30.0,0,0,c
246,0,1,male,44.0,2,0,q
247,0,3,female,25.0,0,0,s
248,1,2,female,24.0,0,2,s
249,1,1,male,37.0,1,1,s
250,0,2,male,54.0,1,0,s
251,0,3,male,30.0,0,0,s
252,0,3,female,29.0,1,1,s
253,0,1,male,62.0,0,0,s
254,0,3,male,30.0,1,0,s
255,0,3,female,41.0,0,2,s
256,1,3,female,29.0,0,2,c
257,1,1,female,30.0,0,0,c
258,1,1,female,30.0,0,0,s
259,1,1,female,35.0,0,0,c
260,1,2,female,50.0,0,1,s
261,0,3,male,30.0,0,0,q
262,1,3,male,3.0,4,2,s
263,0,1,male,52.0,1,1,s
264,0,1,male,40.0,0,0,s
265,0,3,female,30.0,0,0,q
266,0,2,male,36.0,0,0,s
267,0,3,male,16.0,4,1,s
268,1,3,male,25.0,1,0,s
269,1,1,female,58.0,0,1,s
270,1,1,female,35.0,0,0,s
271,0,1,male,30.0,0,0,s
272,1,3,male,25.0,0,0,s
273,1,2,female,41.0,0,1,s
274,0,1,male,37.0,0,1,c
275,1,3,female,30.0,0,0,q
276,1,1,female,63.0,1,0,s
277,0,3,female,45.0,0,0,s
278,0,2,male,30.0,0,0,s
279,0,3,male,7.0,4,1,q
280,1,3,female,35.0,1,1,s
281,0,3,male,65.0,0,0,q
282,0,3,male,28.0,0,0,s
283,0,3,male,16.0,0,0,s
284,1,3,male,19.0,0,0,s
285,0,1,male,30.0,0,0,s
286,0,3,male,33.0,0,0,c
287,1,3,male,30.0,0,0,s
288,0,3,male,22.0,0,0,s
289,1,2,male,42.0,0,0,s
290,1,3,female,22.0,0,0,q
291,1,1,female,26.0,0,0,s
292,1,1,female,19.0,1,0,c
293,0,2,male,36.0,0,0,c
294,0,3,female,24.0,0,0,s
295,0,3,male,24.0,0,0,s
296,0,1,male,30.0,0,0,c
297,0,3,male,23.5,0,0,c
298,0,1,female,2.0,1,2,s
299,1,1,male,30.0,0,0,s
300,1,1,female,50.0,0,1,c
301,1,3,female,30.0,0,0,q
302,1,3,male,30.0,2,0,q
303,0,3,male,19.0,0,0,s
304,1,2,female,30.0,0,0,q
305,0,3,male,30.0,0,0,s
306,1,1,male,0.92,1,2,s
307,1,1,female,30.0,0,0,c
308,1,1,female,17.0,1,0,c
309,0,2,male,30.0,1,0,c
310,1,1,female,30.0,0,0,c
311,1,1,female,24.0,0,0,c
312,1,1,female,18.0,2,2,c
313,0,2,female,26.0,1,1,s
314,0,3,male,28.0,0,0,s
315,0,2,male,43.0,1,1,s
316,1,3,female,26.0,0,0,s
317,1,2,female,24.0,1,0,s
318,0,2,male,54.0,0,0,s
319,1,1,female,31.0,0,2,s
320,1,1,female,40.0,1,1,c
321,0,3,male,22.0,0,0,s
322,0,3,male,27.0,0,0,s
323,1,2,female,30.0,0,0,q
324,1,2,female,22.0,1,1,s
325,0,3,male,30.0,8,2,s
326,1,1,female,36.0,0,0,c
327,0,3,male,61.0,0,0,s
328,1,2,female,36.0,0,0,s
329,1,3,female,31.0,1,1,s
330,1,1,female,16.0,0,1,c
331,1,3,female,30.0,2,0,q
332,0,1,male,45.5,0,0,s
333,0,1,male,38.0,0,1,s
334,0,3,male,16.0,2,0,s
335,1,1,female,30.0,1,0,s
336,0,3,male,30.0,0,0,s
337,0,1,male,29.0,1,0,s
338,1,1,female,41.0,0,0,c
339,1,3,male,45.0,0,0,s
340,0,1,male,45.0,0,0,s
341,1,2,male,2.0,1,1,s
342,1,1,female,24.0,3,2,s
343,0,2,male,28.0,0,0,s
344,0,2,male,25.0,0,0,s
345,0,2,male,36.0,0,0,s
346,1,2,female,24.0,0,0,s
347,1,2,female,40.0,0,0,s
348,1,3,female,30.0,1,0,s
349,1,3,male,3.0,1,1,s
350,0,3,male,42.0,0,0,s
351,0,3,male,23.0,0,0,s
352,0,1,male,30.0,0,0,s
353,0,3,male,15.0,1,1,c
354,0,3,male,25.0,1,0,s
355,0,3,male,30.0,0,0,c
356,0,3,male,28.0,0,0,s
357,1,1,female,22.0,0,1,s
358,0,2,female,38.0,0,0,s
359,1,3,female,30.0,0,0,q
360,1,3,female,30.0,0,0,q
361,0,3,male,40.0,1,4,s
362,0,2,male,29.0,1,0,c
363,0,3,female,45.0,0,1,c
364,0,3,male,35.0,0,0,s
365,0,3,male,30.0,1,0,q
366,0,3,male,30.0,0,0,s
367,1,1,female,60.0,1,0,c
368,1,3,female,30.0,0,0,c
369,1,3,female,30.0,0,0,q
370,1,1,female,24.0,0,0,c
371,1,1,male,25.0,1,0,c
372,0,3,male,18.0,1,0,s
373,0,3,male,19.0,0,0,s
374,0,1,male,22.0,0,0,c
375,0,3,female,3.0,3,1,s
376,1,1,female,30.0,1,0,c
377,1,3,female,22.0,0,0,s
378,0,1,male,27.0,0,2,c
379,0,3,male,20.0,0,0,c
380,0,3,male,19.0,0,0,s
381,1,1,female,42.0,0,0,c
382,1,3,female,1.0,0,2,c
383,0,3,male,32.0,0,0,s
384,1,1,female,35.0,1,0,s
385,0,3,male,30.0,0,0,s
386,0,2,male,18.0,0,0,s
387,0,3,male,1.0,5,2,s
388,1,2,female,36.0,0,0,s
389,0,3,male,30.0,0,0,q
390,1,2,female,17.0,0,0,c
391,1,1,male,36.0,1,2,s
392,1,3,male,21.0,0,0,s
393,0,3,male,28.0,2,0,s
394,1,1,female,23.0,1,0,c
395,1,3,female,24.0,0,2,s
396,0,3,male,22.0,0,0,s
397,0,3,female,31.0,0,0,s
398,0,2,male,46.0,0,0,s
399,0,2,male,23.0,0,0,s
400,1,2,female,28.0,0,0,s
401,1,3,male,39.0,0,0,s
402,0,3,male,26.0,0,0,s
403,0,3,female,21.0,1,0,s
404,0,3,male,28.0,1,0,s
405,0,3,female,20.0,0,0,s
406,0,2,male,34.0,1,0,s
407,0,3,male,51.0,0,0,s
408,1,2,male,3.0,1,1,s
409,0,3,male,21.0,0,0,s
410,0,3,female,30.0,3,1,s
411,0,3,male,30.0,0,0,s
412,0,3,male,30.0,0,0,q
413,1,1,female,33.0,1,0,q
414,0,2,male,30.0,0,0,s
415,1,3,male,44.0,0,0,s
416,0,3,female,30.0,0,0,s
417,1,2,female,34.0,1,1,s
418,1,2,female,18.0,0,2,s
419,0,2,male,30.0,0,0,s
420,0,3,female,10.0,0,2,s
421,0,3,male,30.0,0,0,c
422,0,3,male,21.0,0,0,q
423,0,3,male,29.0,0,0,s
424,0,3,female,28.0,1,1,s
425,0,3,male,18.0,1,1,s
426,0,3,male,30.0,0,0,s
427,1,2,female,28.0,1,0,s
428,1,2,female,19.0,0,0,s
429,0,3,male,30.0,0,0,q
430,1,3,male,32.0,0,0,s
431,1,1,male,28.0,0,0,s
432,1,3,female,30.0,1,0,s
433,1,2,female,42.0,1,0,s
434,0,3,male,17.0,0,0,s
435,0,1,male,50.0,1,0,s
436,1,1,female,14.0,1,2,s
437,0,3,female,21.0,2,2,s
438,1,2,female,24.0,2,3,s
439,0,1,male,64.0,1,4,s
440,0,2,male,31.0,0,0,s
441,1,2,female,45.0,1,1,s
442,0,3,male,20.0,0,0,s
443,0,3,male,25.0,1,0,s
444,1,2,female,28.0,0,0,s
445,1,3,male,30.0,0,0,s
446,1,1,male,4.0,0,2,s
447,1,2,female,13.0,0,1,s
448,1,1,male,34.0,0,0,s
449,1,3,female,5.0,2,1,c
450,1,1,male,52.0,0,0,s
451,0,2,male,36.0,1,2,s
452,0,3,male,30.0,1,0,s
453,0,1,male,30.0,0,0,c
454,1,1,male,49.0,1,0,c
455,0,3,male,30.0,0,0,s
456,1,3,male,29.0,0,0,c
457,0,1,male,65.0,0,0,s
458,1,1,female,30.0,1,0,s
459,1,2,female,50.0,0,0,s
460,0,3,male,30.0,0,0,q
461,1,1,male,48.0,0,0,s
462,0,3,male,34.0,0,0,s
463,0,1,male,47.0,0,0,s
464,0,2,male,48.0,0,0,s
465,0,3,male,30.0,0,0,s
466,0,3,male,38.0,0,0,s
467,0,2,male,30.0,0,0,s
468,0,1,male,56.0,0,0,s
469,0,3,male,30.0,0,0,q
470,1,3,female,0.75,2,1,c
471,0,3,male,30.0,0,0,s
472,0,3,male,38.0,0,0,s
473,1,2,female,33.0,1,2,s
474,1,2,female,23.0,0,0,c
475,0,3,female,22.0,0,0,s
476,0,1,male,30.0,0,0,s
477,0,2,male,34.0,1,0,s
478,0,3,male,29.0,1,0,s
479,0,3,male,22.0,0,0,s
480,1,3,female,2.0,0,1,s
481,0,3,male,9.0,5,2,s
482,0,2,male,30.0,0,0,s
483,0,3,male,50.0,0,0,s
484,1,3,female,63.0,0,0,s
485,1,1,male,25.0,1,0,c
486,0,3,female,30.0,3,1,s
487,1,1,female,35.0,1,0,s
488,0,1,male,58.0,0,0,c
489,0,3,male,30.0,0,0,s
490,1,3,male,9.0,1,1,s
491,0,3,male,30.0,1,0,s
492,0,3,male,21.0,0,0,s
493,0,1,male,55.0,0,0,s
494,0,1,male,71.0,0,0,c
495,0,3,male,21.0,0,0,s
496,0,3,male,30.0,0,0,c
497,1,1,female,54.0,1,0,c
498,0,3,male,30.0,0,0,s
499,0,1,female,25.0,1,2,s
500,0,3,male,24.0,0,0,s
501,0,3,male,17.0,0,0,s
502,0,3,female,21.0,0,0,q
503,0,3,female,30.0,0,0,q
504,0,3,female,37.0,0,0,s
505,1,1,female,16.0,0,0,s
506,0,1,male,18.0,1,0,c
507,1,2,female,33.0,0,2,s
508,1,1,male,30.0,0,0,s
509,0,3,male,28.0,0,0,s
510,1,3,male,26.0,0,0,s
511,1,3,male,29.0,0,0,q
512,0,3,male,30.0,0,0,s
513,1,1,male,36.0,0,0,s
514,1,1,female,54.0,1,0,c
515,0,3,male,24.0,0,0,s
516,0,1,male,47.0,0,0,s
517,1,2,female,34.0,0,0,s
518,0,3,male,30.0,0,0,q
519,1,2,female,36.0,1,0,s
520,0,3,male,32.0,0,0,s
521,1,1,female,30.0,0,0,s
522,0,3,male,22.0,0,0,s
523,0,3,male,30.0,0,0,c
524,1,1,female,44.0,0,1,c
525,0,3,male,30.0,0,0,c
526,0,3,male,40.5,0,0,q
527,1,2,female,50.0,0,0,s
528,0,1,male,30.0,0,0,s
529,0,3,male,39.0,0,0,s
530,0,2,male,23.0,2,1,s
531,1,2,female,2.0,1,1,s
532,0,3,male,30.0,0,0,c
533,0,3,male,17.0,1,1,c
534,1,3,female,30.0,0,2,c
535,0,3,female,30.0,0,0,s
536,1,2,female,7.0,0,2,s
537,0,1,male,45.0,0,0,s
538,1,1,female,30.0,0,0,c
539,0,3,male,30.0,0,0,s
540,1,1,female,22.0,0,2,c
541,1,1,female,36.0,0,2,s
542,0,3,female,9.0,4,2,s
543,0,3,female,11.0,4,2,s
544,1,2,male,32.0,1,0,s
545,0,1,male,50.0,1,0,c
546,0,1,male,64.0,0,0,s
547,1,2,female,19.0,1,0,s
548,1,2,male,30.0,0,0,c
549,0,3,male,33.0,1,1,s
550,1,2,male,8.0,1,1,s
551,1,1,male,17.0,0,2,c
552,0,2,male,27.0,0,0,s
553,0,3,male,30.0,0,0,q
554,1,3,male,22.0,0,0,c
555,1,3,female,22.0,0,0,s
556,0,1,male,62.0,0,0,s
557,1,1,female,48.0,1,0,c
558,0,1,male,30.0,0,0,c
559,1,1,female,39.0,1,1,s
560,1,3,female,36.0,1,0,s
561,0,3,male,30.0,0,0,q
562,0,3,male,40.0,0,0,s
563,0,2,male,28.0,0,0,s
564,0,3,male,30.0,0,0,s
565,0,3,female,30.0,0,0,s
566,0,3,male,24.0,2,0,s
567,0,3,male,19.0,0,0,s
568,0,3,female,29.0,0,4,s
569,0,3,male,30.0,0,0,c
570,1,3,male,32.0,0,0,s
571,1,2,male,62.0,0,0,s
572,1,1,female,53.0,2,0,s
573,1,1,male,36.0,0,0,s
574,1,3,female,30.0,0,0,q
575,0,3,male,16.0,0,0,s
576,0,3,male,19.0,0,0,s
577,1,2,female,34.0,0,0,s
578,1,1,female,39.0,1,0,s
579,0,3,female,30.0,1,0,c
580,1,3,male,32.0,0,0,s
581,1,2,female,25.0,1,1,s
582,1,1,female,39.0,1,1,c
583,0,2,male,54.0,0,0,s
584,0,1,male,36.0,0,0,c
585,0,3,male,30.0,0,0,c
586,1,1,female,18.0,0,2,s
587,0,2,male,47.0,0,0,s
588,1,1,male,60.0,1,1,c
589,0,3,male,22.0,0,0,s
590,0,3,male,30.0,0,0,s
591,0,3,male,35.0,0,0,s
592,1,1,female,52.0,1,0,c
593,0,3,male,47.0,0,0,s
594,0,3,female,30.0,0,2,q
595,0,2,male,37.0,1,0,s
596,0,3,male,36.0,1,1,s
597,1,2,female,30.0,0,0,s
598,0,3,male,49.0,0,0,s
599,0,3,male,30.0,0,0,c
600,1,1,male,49.0,1,0,c
601,1,2,female,24.0,2,1,s
602,0,3,male,30.0,0,0,s
603,0,1,male,30.0,0,0,s
604,0,3,male,44.0,0,0,s
605,1,1,male,35.0,0,0,c
606,0,3,male,36.0,1,0,s
607,0,3,male,30.0,0,0,s
608,1,1,male,27.0,0,0,s
609,1,2,female,22.0,1,2,c
610,1,1,female,40.0,0,0,s
611,0,3,female,39.0,1,5,s
612,0,3,male,30.0,0,0,s
613,1,3,female,30.0,1,0,q
614,0,3,male,30.0,0,0,q
615,0,3,male,35.0,0,0,s
616,1,2,female,24.0,1,2,s
617,0,3,male,34.0,1,1,s
618,0,3,female,26.0,1,0,s
619,1,2,female,4.0,2,1,s
620,0,2,male,26.0,0,0,s
621,0,3,male,27.0,1,0,c
622,1,1,male,42.0,1,0,s
623,1,3,male,20.0,1,1,c
624,0,3,male,21.0,0,0,s
625,0,3,male,21.0,0,0,s
626,0,1,male,61.0,0,0,s
627,0,2,male,57.0,0,0,q
628,1,1,female,21.0,0,0,s
629,0,3,male,26.0,0,0,s
630,0,3,male,30.0,0,0,q
631,1,1,male,80.0,0,0,s
632,0,3,male,51.0,0,0,s
633,1,1,male,32.0,0,0,c
634,0,1,male,30.0,0,0,s
635,0,3,female,9.0,3,2,s
636,1,2,female,28.0,0,0,s
637,0,3,male,32.0,0,0,s
638,0,2,male,31.0,1,1,s
639,0,3,female,41.0,0,5,s
640,0,3,male,30.0,1,0,s
641,0,3,male,20.0,0,0,s
642,1,1,female,24.0,0,0,c
643,0,3,female,2.0,3,2,s
644,1,3,male,30.0,0,0,s
645,1,3,female,0.75,2,1,c
646,1,1,male,48.0,1,0,c
647,0,3,male,19.0,0,0,s
648,1,1,male,56.0,0,0,c
649,0,3,male,30.0,0,0,s
650,1,3,female,23.0,0,0,s
651,0,3,male,30.0,0,0,s
652,1,2,female,18.0,0,1,s
653,0,3,male,21.0,0,0,s
654,1,3,female,30.0,0,0,q
655,0,3,female,18.0,0,0,q
656,0,2,male,24.0,2,0,s
657,0,3,male,30.0,0,0,s
658,0,3,female,32.0,1,1,q
659,0,2,male,23.0,0,0,s
660,0,1,male,58.0,0,2,c
661,1,1,male,50.0,2,0,s
662,0,3,male,40.0,0,0,c
663,0,1,male,47.0,0,0,s
664,0,3,male,36.0,0,0,s
665,1,3,male,20.0,1,0,s
666,0,2,male,32.0,2,0,s
667,0,2,male,25.0,0,0,s
668,0,3,male,30.0,0,0,s
669,0,3,male,43.0,0,0,s
670,1,1,female,30.0,1,0,s
671,1,2,female,40.0,1,1,s
672,0,1,male,31.0,1,0,s
673,0,2,male,70.0,0,0,s
674,1,2,male,31.0,0,0,s
675,0,2,male,30.0,0,0,s
676,0,3,male,18.0,0,0,s
677,0,3,male,24.5,0,0,s
678,1,3,female,18.0,0,0,s
679,0,3,female,43.0,1,6,s
680,1,1,male,36.0,0,1,c
681,0,3,female,30.0,0,0,q
682,1,1,male,27.0,0,0,c
683,0,3,male,20.0,0,0,s
684,0,3,male,14.0,5,2,s
685,0,2,male,60.0,1,1,s
686,0,2,male,25.0,1,2,c
687,0,3,male,14.0,4,1,s
688,0,3,male,19.0,0,0,s
689,0,3,male,18.0,0,0,s
690,1,1,female,15.0,0,1,s
691,1,1,male,31.0,1,0,s
692,1,3,female,4.0,0,1,c
693,1,3,male,30.0,0,0,s
694,0,3,male,25.0,0,0,c
695,0,1,male,60.0,0,0,s
696,0,2,male,52.0,0,0,s
697,0,3,male,44.0,0,0,s
698,1,3,female,30.0,0,0,q
699,0,1,male,49.0,1,1,c
700,0,3,male,42.0,0,0,s
701,1,1,female,18.0,1,0,c
702,1,1,male,35.0,0,0,s
703,0,3,female,18.0,0,1,c
704,0,3,male,25.0,0,0,q
705,0,3,male,26.0,1,0,s
706,0,2,male,39.0,0,0,s
707,1,2,female,45.0,0,0,s
708,1,1,male,42.0,0,0,s
709,1,1,female,22.0,0,0,s
710,1,3,male,30.0,1,1,c
711,1,1,female,24.0,0,0,c
712,0,1,male,30.0,0,0,s
713,1,1,male,48.0,1,0,s
714,0,3,male,29.0,0,0,s
715,0,2,male,52.0,0,0,s
716,0,3,male,19.0,0,0,s
717,1,1,female,38.0,0,0,c
718,1,2,female,27.0,0,0,s
719,0,3,male,30.0,0,0,q
720,0,3,male,33.0,0,0,s
721,1,2,female,6.0,0,1,s
722,0,3,male,17.0,1,0,s
723,0,2,male,34.0,0,0,s
724,0,2,male,50.0,0,0,s
725,1,1,male,27.0,1,0,s
726,0,3,male,20.0,0,0,s
727,1,2,female,30.0,3,0,s
728,1,3,female,30.0,0,0,q
729,0,2,male,25.0,1,0,s
730,0,3,female,25.0,1,0,s
731,1,1,female,29.0,0,0,s
732,0,3,male,11.0,0,0,c
733,0,2,male,30.0,0,0,s
734,0,2,male,23.0,0,0,s
735,0,2,male,23.0,0,0,s
736,0,3,male,28.5,0,0,s
737,0,3,female,48.0,1,3,s
738,1,1,male,35.0,0,0,c
739,0,3,male,30.0,0,0,s
740,0,3,male,30.0,0,0,s
741,1,1,male,30.0,0,0,s
742,0,1,male,36.0,1,0,s
743,1,1,female,21.0,2,2,c
744,0,3,male,24.0,1,0,s
745,1,3,male,31.0,0,0,s
746,0,1,male,70.0,1,1,s
747,0,3,male,16.0,1,1,s
748,1,2,female,30.0,0,0,s
749,0,1,male,19.0,1,0,s
750,0,3,male,31.0,0,0,q
751,1,2,female,4.0,1,1,s
752,1,3,male,6.0,0,1,s
753,0,3,male,33.0,0,0,s
754,0,3,male,23.0,0,0,s
755,1,2,female,48.0,1,2,s
756,1,2,male,0.67,1,1,s
757,0,3,male,28.0,0,0,s
758,0,2,male,18.0,0,0,s
759,0,3,male,34.0,0,0,s
760,1,1,female,33.0,0,0,s
761,0,3,male,30.0,0,0,s
762,0,3,male,41.0,0,0,s
763,1,3,male,20.0,0,0,c
764,1,1,female,36.0,1,2,s
765,0,3,male,16.0,0,0,s
766,1,1,female,51.0,1,0,s
767,0,1,male,30.0,0,0,c
768,0,3,female,30.5,0,0,q
769,0,3,male,30.0,1,0,q
770,0,3,male,32.0,0,0,s
771,0,3,male,24.0,0,0,s
772,0,3,male,48.0,0,0,s
773,0,2,female,57.0,0,0,s
